Country;CPI score 2020;Rank 2020;Sources 2020;Standard error 2020;FREE;Political Rights RATING;Civil Liberties RATING;C1: Do the freely elected head of government and national legislative representatives determine the policies of the government;C2: Are safeguards against official corruption strong and effective?;C3: Does the government operate with openness and transparency?;C: FUNCTIONING OF GOVERNMENT;F1: Is there an independent judiciary?;;;;;;;;;;;;
Singapore;85;3;9;1,20;PF;4;4;2;3;2;7;1;;;;;;;;;;;;
Slovakia;49;60;9;2,69;F;1;2;4;3;2;9;3;;;;;;;;;;;;
Slovenia;60;35;10;1,13;F;1;1;4;3;4;11;4;;;;;;;;;;;;
Solomon Islands;42;78;3;7,80;F;2;2;3;3;1;7;4;;;;;;;;;;;;
Somalia;12;179;6;2,29;NF;7;7;0;0;0;0;0;;;;;;;;;;;;
South Africa;44;69;8;2,17;F;2;2;3;2;3;8;3;;;;;;;;;;;;
South Korea;61;33;10;1,11;F;2;2;4;3;2;9;3;;;;;;;;;;;;
South Sudan;12;179;5;1,11;NF;7;7;0;0;0;0;0;;;;;;;;;;;;
Spain;62;32;8;2,01;F;1;1;3;3;4;10;4;;;;;;;;;;;;
Sri Lanka;38;94;8;1,17;PF;4;4;2;1;2;5;3;;;;;;;;;;;;
Sudan;16;174;7;2,14;NF;7;6;0;0;0;0;1;;;;;;;;;;;;
Suriname;38;94;4;1,69;F;2;3;3;2;2;7;2;;;;;;;;;;;;
Sweden;85;3;8;1,30;F;1;1;4;4;4;12;4;;;;;;;;;;;;
Switzerland;85;3;7;1,10;F;1;1;4;4;4;12;4;;;;;;;;;;;;
Syria;14;178;5;1,58;NF;7;7;0;0;0;0;0;;;;;;;;;;;;
Taiwan;65;28;8;2,06;F;1;1;4;3;3;10;4;;;;;;;;;;;;
Tajikistan;25;149;6;5,09;NF;7;6;0;0;0;0;0;;;;;;;;;;;;
Tanzania;38;94;9;0,80;PF;5;5;2;2;1;5;2;;;;;;;;;;;;
Thailand;36;104;9;1,31;PF;6;4;0;1;1;2;1;;;;;;;;;;;;
Timor-Leste;40;86;4;2,71;F;2;3;3;2;2;7;2;;;;;;;;;;;;
Togo;29;134;7;1,75;PF;5;4;2;1;2;5;2;;;;;;;;;;;;
Trinidad and Tobago;40;86;7;3,73;F;2;2;4;2;3;9;3;;;;;;;;;;;;
Tunisia;44;69;7;2,83;F;2;3;3;1;2;6;2;;;;;;;;;;;;
Turkey;40;86;9;2,06;NF;5;6;2;1;0;3;1;;;;;;;;;;;;
Turkmenistan;19;165;5;0,91;NF;7;7;0;0;0;0;0;;;;;;;;;;;;
Uganda;27;142;9;1,15;NF;6;5;1;1;1;3;1;;;;;;;;;;;;
Ukraine;33;117;9;1,31;PF;3;3;3;1;2;6;1;;;;;;;;;;;;
United Arab Emirates;71;21;8;3,23;NF;7;6;0;2;0;2;0;;;;;;;;;;;;
United Kingdom;77;11;8;2,20;F;1;1;3;4;4;11;4;;;;;;;;;;;;
United States of America;67;25;9;2,49;F;2;1;3;3;3;9;3;;;;;;;;;;;;
Uruguay;71;21;7;1,72;F;1;1;4;4;4;12;4;;;;;;;;;;;;
Uzbekistan;26;146;7;1,52;NF;7;6;0;0;1;1;0;;;;;;;;;;;;
Vanuatu;43;75;3;3,59;F;2;2;3;2;3;8;4;;;;;;;;;;;;
Venezuela;15;176;8;0,91;NF;7;6;0;0;0;0;0;;;;;;;;;;;;
Vietnam;36;104;8;1,81;NF;7;5;0;1;1;2;1;;;;;;;;;;;;
Yemen;15;176;7;1,33;NF;7;6;0;0;0;0;1;;;;;;;;;;;;
Zambia;33;117;9;0,96;PF;4;4;2;2;2;6;2;;;;;;;;;;;;
Zimbabwe;24;157;9;1,35;PF;5;5;1;1;1;3;1;;;;;;;;;;;;
